"Topic","Sentiment","TweetId","TweetDate","TweetText"
"microsoft","positive","126803641486163969","Wed Oct 19 23:35:18 +0000 2011","Just participated in another #Microsoft #SQLServer certification test with #TSQL typing instead of multiple choices. Really cool."
"microsoft","positive","126792129832951808","Wed Oct 19 22:49:34 +0000 2011","#Microsoft #Opens The Door To Two #Spanish #Entrepreneurs With #Medical #Project ! http://t.co/c97sNizT"
"microsoft","positive","126788430679113728","Wed Oct 19 22:34:52 +0000 2011","#Buffalo, #Intel, #Microsoft, #IBM are the best pavilions at #SMAU"
"microsoft","positive","126780006964805632","Wed Oct 19 22:01:23 +0000 2011","Windows Phone 7.5 Mango Update Process Ahead of Schedule. http://t.co/p1hwo73x  #Microsoft #WindowsPhone #Mango"
"microsoft","positive","126779403605770241","Wed Oct 19 21:58:59 +0000 2011","WP7 is getting there: #Microsoft Claws Back to Smartphone Relevance: Rich Jaroslovsky - Bloomberg http://t.co/JIMML4RC via @BloombergNews"
"microsoft","positive","126779217911349248","Wed Oct 19 21:58:15 +0000 2011","On #Microsoft Excel making functions like it's my job #Productive"
"microsoft","positive","126774092274741248","Wed Oct 19 21:37:53 +0000 2011","RT @Logic2020: Why I love #Microsoft &gt; Microsoft hosting Kids TechFest to encourage careers in tech  http://t.co/fmzFWgYv #babygeeks  ..."
"microsoft","positive","126768366345138176","Wed Oct 19 21:15:08 +0000 2011","#Microsoft word works on my computer again! Yessss"
"microsoft","positive","126767508253454336","Wed Oct 19 21:11:43 +0000 2011","In terms of unified communications giants, really surprised to see how underrated #Microsoft is"
"microsoft","positive","126762337087655936","Wed Oct 19 20:51:10 +0000 2011","#Microsoft dishing out free first-gen WP7 handsets at its stores http://t.co/cvfWMvmO"
"microsoft","positive","126755785391869954","Wed Oct 19 20:25:08 +0000 2011","Will watch this one with interest! RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming ... http://t.co/kvJSerCj via @scottyd99999"
"microsoft","positive","126755232393867264","Wed Oct 19 20:22:57 +0000 2011","Lunch today: 19.00  Eating it at #Microsoft while attending #VSLive?  Priceless."
"microsoft","positive","126754593714606085","Wed Oct 19 20:20:24 +0000 2011","Will watch this one with interest! RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/vpQOyXWa"
"microsoft","positive","126754500278104064","Wed Oct 19 20:20:02 +0000 2011","""#Microsoft details Search improvements in Windows 8 Start Screen"" http://t.co/Agv49znJ"
"microsoft","positive","126750973329817601","Wed Oct 19 20:06:01 +0000 2011","Mango shows #Microsoft still has the taste for smartphone success http://t.co/AFm8VSMm  #wp7 #mango"
"microsoft","positive","126749591956762624","Wed Oct 19 20:00:32 +0000 2011","RT @bmann Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local"
"microsoft","positive","126748497096622080","Wed Oct 19 19:56:11 +0000 2011","Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local"
"microsoft","positive","126748156003221504","Wed Oct 19 19:54:49 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores: Microsoft's retail stores ar... http://t.co/r2RndN6Y"
"microsoft","positive","126748155021762561","Wed Oct 19 19:54:49 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/xoLRaueY #microsoft"
"microsoft","positive","126748153952206849","Wed Oct 19 19:54:49 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/F4HwAN6Q"
"microsoft","positive","126747965393084416","Wed Oct 19 19:54:04 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/7YvJMHnQ"
"microsoft","positive","126747962817781760","Wed Oct 19 19:54:03 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/hJ8qlOC9 #neowin"
"microsoft","positive","126747960900984832","Wed Oct 19 19:54:03 +0000 2011","Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/BpFKyd1O"
"microsoft","positive","126744770713362432","Wed Oct 19 19:41:22 +0000 2011","#Microsoft store here I come to spend my hard earned cash. #vslive"
"microsoft","positive","126743288320491521","Wed Oct 19 19:35:29 +0000 2011","If you didn't know - Free #Microsoft #HTML5 @Webcamps on West Coast MountainView Redmond Portland check them out  http://t.co/L86OWQRE"
"microsoft","positive","126742063961214976","Wed Oct 19 19:30:37 +0000 2011","Hey parents!Did you know about the free tools from #Microsoft that help keep your kids safe online?Live Family Safety http://t.co/5pk1et6r"
"microsoft","positive","126741671965769728","Wed Oct 19 19:29:04 +0000 2011","#Microsoft #Cloud Microsoft offers students free access to its technologies to improve employability: Dubbe... http://t.co/rGBHHUQP #TCN"
"microsoft","positive","126738939594813440","Wed Oct 19 19:18:12 +0000 2011","Awesome! #Microsoft  #holodeck bit.ly/qpGxle"
"microsoft","positive","126736431929507840","Wed Oct 19 19:08:14 +0000 2011","""#Microsoft details Windows 8 search improvements"" - via @SlashGear http://t.co/JCawWRzQ"
